Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;Pt 3-5d Triplex;01/09/2024 07:04:28;08:02:09;100;58;1,1;859;896
-;Triplex 6d F14;01/09/2024 08:41:26;09:09:34;61;28;0,8;306;655
-;Triplex 6d F14;01/09/2024 09:15:57;09:16:40;64;1;0,8;7;610
-;F14 Pt9 H;01/09/2024 09:20:47;09:59:05;100;38;0,7;375;589
-;Pt 12-14d H;01/09/2024 10:50:42;10:52:41;4;2;0,8;21;632
-;Pt 12-14d H;01/09/2024 10:54:19;10:59:41;19;5;0,9;67;754
-;Porte 1-3d H;02/09/2024 07:51:20;07:53:50;3;2;0,6;20;489
-;Porte 1-3d H;02/09/2024 07:55:22;08:00:54;9;6;0,8;62;678
-;Pt 3-5d Triplex;02/09/2024 08:13:28;09:14:35;100;61;1;860;847
-;Triplex 6d F14;02/09/2024 09:45:17;10:15:06;64;30;0,8;322;650
-;F14 Pt9 H;02/09/2024 10:18:02;10:43:07;64;25;0,7;240;575
-;Triplex 17d H;02/09/2024 13:55:41;14:28:20;91;33;1,1;473;872
-;Pt 17 Triplex V;03/09/2024 02:53:29;03:14:48;91;21;0,7;202;572
-;Pt 3-5d Triplex;03/09/2024 07:12:35;07:18:22;7;6;0,8;66;685
-;Pt 3-5d Triplex;03/09/2024 07:20:00;08:11:01;100;51;1,2;791;934
-;Pt 12-14d H;03/09/2024 08:38:21;09:05:05;82;27;1,1;400;901
-;Triplex 6d F14;03/09/2024 09:25:18;10:09:26;100;44;0,9;511;697
-;Pt 17 Triplex V;03/09/2024 22:31:35;22:45:27;60;14;0,7;135;587
-;Pt 17 Triplex V;03/09/2024 23:29:36;23:36:56;91;7;0,7;68;558
-;Pt 17 Triplex V;03/09/2024 23:46:28;00:08:18;91;22;0,7;205;565
-;Pt 17 Triplex V;04/09/2024 22:36:29;22:57:34;91;21;0,7;202;578
-;Pt 3-5d Triplex;05/09/2024 07:58:05;08:55:11;100;57;1,1;856;903
-;Triplex 6d F14;05/09/2024 09:21:54;09:31:18;16;9;0,6;78;497
-;F14 Pt9 H;05/09/2024 10:33:06;11:04:41;80;32;0,7;299;570
-;F14 Pt9 H;05/09/2024 11:06:29;11:09:17;87;3;0,8;31;664
-;Pt 17 Triplex V;05/09/2024 22:23:22;22:44:44;91;21;0,7;206;580
-;Porte 1-3d H;06/09/2024 07:36:24;07:37:50;3;1;0,7;14;576
-;Porte 1-3d H;06/09/2024 07:57:07;08:38:35;71;41;1;572;830
-;Porte 1-3d H;06/09/2024 08:51:03;09:09:17;100;18;1;232;764
-;F14 Pt9 H;06/09/2024 10:08:36;10:44:10;90;36;0,7;343;581
-;Triplex 17d H;06/09/2024 13:43:28;14:18:13;100;35;1,1;518;898
-;Pt 17 Triplex V;07/09/2024 06:42:04;07:05:15;100;23;0,7;216;562
-;Pt 3-5d Triplex;07/09/2024 07:36:07;08:23:42;82;48;1,1;695;879
-;Pt 3-5d Triplex;07/09/2024 08:24:35;08:36:27;100;12;1;166;843
-;Triplex 6d F14;07/09/2024 09:28:10;10:10:33;91;42;0,8;471;669
-;F14 Pt9 H;07/09/2024 11:02:32;11:07:18;7;5;0,5;28;357
-;F14 Pt9 H;07/09/2024 11:16:40;11:18:49;4;2;0,4;13;364
-;F14 Pt9 H;07/09/2024 11:19:47;11:21:24;7;2;0,4;11;391
-;F14 Pt9 H;07/09/2024 11:31:40;11:38:26;24;7;0,7;61;540
-;Triplex 17d H;07/09/2024 13:50:56;14:17:49;75;27;1,1;392;878
-;Pt 17 Triplex V;09/09/2024 22:24:33;22:37:53;55;13;0,7;125;563
-;Pt 3-5d Triplex;10/09/2024 07:32:56;07:37:02;5;4;0,7;41;605
-;Porte 1-3d H;10/09/2024 07:40:14;07:52:30;15;12;0,8;138;675
-;Porte 1-3d H;10/09/2024 07:53:16;08:38:23;98;45;1,1;650;868
-;Pt 3-5d Triplex;10/09/2024 09:07:05;09:11:18;5;4;0,9;49;706
-;Triplex 6d F14;10/09/2024 09:30:02;10:09:44;85;40;0,8;424;644
-;Triplex 6d F14;10/09/2024 10:11:02;10:17:32;97;6;0,8;70;646
-;Pt 12-14d H;10/09/2024 11:08:35;11:30:44;60;22;0,9;281;764
-;Pt 12-14d H;10/09/2024 11:32:04;11:39:06;78;7;1;96;819
-;Pt 3-5d Triplex;11/09/2024 07:55:04;07:57:21;3;2;0,7;20;532
-;Pt 3-5d Triplex;11/09/2024 07:58:06;08:08:31;19;10;1;144;833
-;Triplex 6d F14;11/09/2024 08:20:56;09:03:01;100;42;0,9;505;723
-;F14 Pt9 H;11/09/2024 10:21:57;10:55:23;80;33;0,7;309;558
-;Pt 3-5d Triplex;12/09/2024 07:13:33;07:18:00;5;4;0,8;49;655
-;Pt 3-5d Triplex;12/09/2024 07:24:34;07:25:18;7;1;0,6;6;530
-;Pt 3-5d Triplex;12/09/2024 07:41:11;07:48:02;9;7;0,8;72;635
-;Pt 3-5d Triplex;12/09/2024 08:02:39;08:03:49;11;1;0,9;15;750
-;Triplex 6d F14;12/09/2024 08:15:35;08:54:19;76;39;0,7;384;597
-;Pt 12-14d H;12/09/2024 09:25:49;09:33:33;19;8;0,9;97;756
-;Pt 14d Triplex;12/09/2024 09:48:13;10:10:28;100;22;1,2;367;993
-;Triplex 17d H;12/09/2024 11:14:39;11:44:21;84;30;1,1;436;883
-;Pt 3-5d Triplex;14/09/2024 07:04:52;07:12:16;9;7;0,8;80;652
-;Pt 3-5d Triplex;14/09/2024 07:15:43;07:58:44;84;43;1,1;641;897
-;Triplex 6d F14;14/09/2024 09:41:24;09:48:56;13;8;0,7;67;538
-;Triplex 6d F14;14/09/2024 09:51:37;10:29:15;100;38;0,9;441;705
-;F14 Pt9 H;14/09/2024 10:51:21;10:53:17;4;2;0,6;14;431
-;Pt 3-5d Triplex;15/09/2024 08:23:43;08:27:02;3;3;0,6;28;498
-;Triplex 6d F14;15/09/2024 09:13:30;09:53:44;91;40;0,8;457;683
-;F14 Pt9 H;15/09/2024 10:11:38;10:15:54;7;4;0,5;29;412
-;Pt 14d Triplex;15/09/2024 14:01:14;14:03:50;6;3;0,8;28;636
-;Pt 3-5d Triplex;17/09/2024 07:30:37;08:29:42;100;59;1,1;864;881
-;Triplex 6d F14;17/09/2024 09:13:09;09:56:55;100;44;0,9;509;701
-;F14 Pt9 H;17/09/2024 11:21:06;11:25:11;7;4;0,5;24;359
-;Pt 3-5d Triplex;18/09/2024 07:43:41;08:22:17;67;39;1,1;579;904
-;Pt 3-5d Triplex;18/09/2024 08:22:49;08:32:34;84;10;1,1;142;875
-;Triplex 6d F14;18/09/2024 09:22:37;10:05:28;100;43;0,9;509;716
-;F14 Pt9 H;18/09/2024 10:24:18;10:28:17;7;4;0,5;28;427
-;Porte 1-3d H;20/09/2024 07:34:58;07:42:52;11;8;0,9;91;692
-;Porte 1-3d H;20/09/2024 07:44:13;07:47:19;15;3;0,9;37;721
-;Porte 1-3d H;20/09/2024 07:50:17;08:38:48;100;49;1;671;832
-;Pt 3-5d Triplex;20/09/2024 09:03:18;09:17:19;19;14;0,9;177;763
-;Triplex 6d F14;20/09/2024 09:47:52;09:54:20;10;6;0,6;52;481
-;Triplex 6d F14;20/09/2024 10:04:34;10:56:48;100;52;0,8;530;611
-;Pt 14d Triplex;20/09/2024 13:54:26;14:18:20;100;24;1,2;369;931
-;Triplex 17d H;20/09/2024 14:20:14;14:30:59;30;11;1;147;827
-;Pt 3-5d Triplex;21/09/2024 08:37:11;09:08:11;48;31;1;419;813
-;Triplex 6d F14;21/09/2024 09:32:57;10:10:08;73;37;0,8;377;611
-;F14 Pt9 H;21/09/2024 10:11:10;10:15:56;7;5;0,5;30;379
-;Pt 3-5d Triplex;22/09/2024 10:25:11;10:27:34;3;2;0,6;20;513
-;Pt 3-5d Triplex;30/09/2024 09:23:19;09:55:26;50;32;1;446;837
-;Pt 3-5d Triplex;30/09/2024 09:56:00;10:09:49;73;14;1,1;198;865
